,Orig_index,Summary Stat,Percent stdev,Standard deviation,Mean,Exp 01,Exp 02,Exp 03,Exp 04,Exp 05,Exp 06,Exp 07,Exp 08,Exp 09,Exp 10,Exp 11,Exp 12,Exp 13,Exp 14,Exp 15,Exp 16,Exp 17,Exp 18,Exp 19,Exp 20,Exp 21
Resistance for Block 18,58,Average Impedance for Frequencies between 1e-2 Hz and 1e-1 Hz for Block 16,0.031135819,0.000323817,0.010400144,0.010486304,0.010474361,0.010426721,0.010630798,0.009812799,0.010600716,0.010743221,0.010150751,0.010268123,0.010781639,0.010002222,0.010406502,0.010445962,0.009996661,0.010823863,0.010666216,0.009723606,0.010396792,0.010850278,0.01006658,0.01064891
dV/dt for Block 18,59,Average Phase for Frequences between 1e-2 Hz and 1e-1 Hz for Block 16,0.031591661,0.317481841,-10.04954568,-9.71927988,-10.16998684,-9.89347812,-9.68158932,-10.28249482,-10.2868949,-9.85340306,-10.91264288,-10.137323,-10.08402842,-10.36569456,-9.88424766,-10.16238752,-10.28852124,-9.82436232,-9.80196906,-10.33022948,-9.83583838,-9.81343758,-10.28438388,-9.42826644
dV/dQ for Block 18,60,Average Impedance for Frequencies between 1e-1 Hz and 1 Hz for Block 16,0.033506103,0.000312481,0.009326092,0.009442853,0.009450813,0.009407515,0.009576888,0.008772594,0.0094932,0.009615046,0.009045977,0.009227373,0.009713072,0.008857971,0.009318799,0.009404763,0.008953973,0.009668812,0.00953718,0.008714044,0.009399329,0.009742127,0.008931548,0.009574055
V0 for Block 19,61,Average Phase for Frequencies between 1e-1 Hz and 1 Hz for Block 16,0.024130777,0.098837967,-4.095929713,-4.072464483,-3.806632883,-4.237514483,-4.1195061,-4.0732732,-4.2354281,-3.949323917,-4.10390405,-4.147105083,-4.157984967,-3.997955267,-4.026832183,-4.10841025,-4.0838923,-4.208092967,-4.167798933,-4.048600867,-4.109975517,-4.018901067,-4.184631733,-4.156295633
k for Block 19,#N/A,Average Impedance for Frequencies between 1 Hz and 10 Hz for Block 16,0.027953209,0.000236744,0.008469296,0.008557552,0.008737748,0.008447912,0.008652112,0.008057834,0.008533117,0.008734766,0.008283214,0.008391674,0.00877443,0.008152713,0.008433861,0.008510885,0.008208323,0.008697869,0.008618552,0.008010183,0.008472573,0.008816296,0.008165814,0.008597796
final V for Block 19,#N/A,Average Phase for Frequenecies between 1 Hz and 10 Hz for Block 16,0.105676792,0.607280731,-5.746585612,-6.006464317,-4.5481486,-6.477586317,-6.160374483,-4.945191567,-6.365642533,-5.888629117,-5.131539283,-5.5469331,-6.171725283,-4.859550217,-6.081682917,-6.153913733,-5.049401917,-6.269287433,-6.1041673,-4.90313635,-6.262651917,-6.120153733,-5.17904765,-6.453070083
Resistance for Block 20,62,Total power for Block 16,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,
dV/dt for Block 20,#N/A,V0 for Block 17,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,
dV/dQ for Block 20,#N/A,k for Block 17,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,
V0 for Block 21,63,Final V for Block 17,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,
k for Block 21,64,Resistance for Block 18,0.020623888,0.000505489,0.024509879,0.024336068,0.024974416,0.024099427,0.024453545,0.024811053,0.024294031,0.023986732,0.025268244,0.025121283,0.024852343,0.024771863,0.023460489,0.024131208,0.025087401,0.024493199,0.02482303,0.024619942,0.023864926,0.024220237,0.025298046,0.023739968
final V for Block 21,65,dV/dt for Block 18,0.024240574,2.13E-06,8.79E-05,8.80E-05,8.97E-05,8.66E-05,8.79E-05,8.99E-05,8.29E-05,8.62E-05,9.07E-05,9.01E-05,8.94E-05,8.90E-05,8.43E-05,8.68E-05,9.02E-05,8.82E-05,8.93E-05,8.84E-05,8.58E-05,8.71E-05,9.08E-05,8.53E-05
Resistance for Block 22,66,dV/dQ for Block 18,0.023122245,7.76E-07,3.35E-05,3.32E-05,3.43E-05,3.30E-05,3.35E-05,3.39E-05,3.22E-05,3.29E-05,3.47E-05,3.45E-05,3.40E-05,3.41E-05,3.21E-05,3.31E-05,3.44E-05,3.36E-05,3.41E-05,3.38E-05,3.27E-05,3.32E-05,3.47E-05,3.25E-05
dV/dt for Block 22,67,V0 for Block 19,0.000419346,0.001513023,3.608054039,3.609583055,3.606534824,3.607936195,3.607624406,3.607873379,3.607262028,3.609107452,3.605439724,3.609292195,3.606767194,3.60822884,3.611175333,3.609482089,3.606335148,3.605796472,3.607350259,3.609226974,3.609506492,3.609551044,3.60598107,3.609080635
